City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Alyangula,AU,-13.8483,136.4192,73.27,100,100,0.0,overcast clouds
247,Kavieng,PG,-2.5744,150.7967,83.73,70,92,13.24,overcast clouds
248,Bethel,US,41.3712,-73.414,49.59,45,97,1.99,overcast clouds
249,Walvis Bay,NA,-22.9575,14.5053,58.15,88,4,2.3,clear sky
250,Cherskiy,RU,68.75,161.3,9.72,90,100,5.64,overcast clouds
251,Asau,RO,46.4333,26.4,34.72,81,29,5.32,scattered clouds
252,Novyy Oskol,RU,50.7631,37.8691,48.07,95,100,0.56,overcast clouds
253,Altay,CN,47.8667,88.1167,45.61,33,0,9.89,clear sky
254,Guarapari,BR,-20.6667,-40.4975,75.88,78,3,10.04,clear sky
255,Vanimo,PG,-2.6741,141.3028,77.45,90,98,2.3,overcast clouds
256,Puerto Palomas,MX,31.7667,-107.6167,83.03,4,0,7.43,clear sky
257,Ribeira Grande,PT,38.5167,-28.7,59.4,67,20,16.11,few clouds
258,Milicz,PL,51.5277,17.2714,44.06,59,100,2.77,overcast clouds
259,Nuuk,GL,64.1835,-51.7216,25.88,86,100,5.99,overcast clouds
260,Maple Creek,CA,49.9168,-109.4848,39.25,52,84,9.22,broken clouds
261,Codajas,BR,-3.8367,-62.0569,82.29,76,97,1.99,overcast clouds
262,Pacific Grove,US,36.6177,-121.9166,68.23,73,0,10.0,clear sky
263,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,78,100,14.97,overcast clouds
264,Eyl,SO,7.9803,49.8164,82.71,79,42,7.67,scattered clouds
265,Mehamn,NO,71.0357,27.8492,40.95,93,75,14.97,broken clouds
266,Barrow,US,71.2906,-156.7887,9.59,81,3,8.12,clear sky
267,Ashqelon,IL,31.6693,34.5715,91.29,24,6,15.19,clear sky
268,Kieta,PG,-6.2167,155.6333,80.04,82,91,1.68,overcast clouds
269,Lavrentiya,RU,65.5833,-171.0,30.0,94,100,13.42,light snow
270,Hosangadi,IN,13.7,74.95,75.74,94,4,1.16,clear sky
271,Moose Factory,CA,51.2585,-80.6094,26.6,63,100,6.91,overcast clouds
272,Huicungo,PE,-7.2833,-76.8,84.58,63,59,2.37,broken clouds
273,Waipawa,NZ,-41.4122,175.5153,55.13,69,78,11.48,broken clouds
274,Hambantota,LK,6.1241,81.1185,79.43,85,80,9.6,broken clouds
275,Gazanjyk,TM,39.2446,55.5154,55.06,80,94,6.42,overcast clouds
276,Alofi,NU,-19.0595,-169.9187,82.29,83,75,6.91,broken clouds
277,Ambagarh Chauki,IN,20.7833,80.7167,82.6,26,2,10.85,clear sky
278,Kathu,TH,7.9178,98.3332,78.62,78,88,5.32,overcast clouds
279,San-Pedro,CI,4.7485,-6.6363,76.8,83,100,5.12,overcast clouds
280,Kloulklubed,PW,7.0419,134.2556,73.9,72,98,1.79,overcast clouds
281,Colchester,GB,51.8892,0.9042,49.98,77,100,8.12,overcast clouds
282,Samarai,PG,-10.6167,150.6667,81.91,78,100,10.89,moderate rain
283,Lubango,AO,-14.9172,13.4925,61.57,84,80,4.03,broken clouds
284,Yaan,NG,7.3833,8.5667,83.28,70,90,8.32,light rain
285,Ketchikan,US,55.3422,-131.6461,47.8,42,85,6.71,overcast clouds
286,High Level,CA,58.5169,-117.136,15.91,79,100,14.97,light snow
287,Yamada,JP,39.4667,141.95,46.6,76,16,3.76,few clouds
288,Ambilobe,MG,-13.2,49.05,73.02,90,51,2.95,broken clouds
289,Ampanihy,MG,-24.7,44.75,72.09,88,86,9.26,overcast clouds
290,Bubaque,GW,11.2833,-15.8333,75.25,76,60,22.59,broken clouds
291,Nara,JP,34.6851,135.8049,56.91,72,95,3.91,overcast clouds
292,Constitucion,CL,-35.3333,-72.4167,58.44,78,43,6.55,scattered clouds
293,Bathsheba,BB,13.2167,-59.5167,83.01,69,75,18.41,broken clouds
294,Shimoda,JP,34.6667,138.95,54.1,82,100,7.52,overcast clouds
295,Emerald,AU,-23.5333,148.1667,60.94,82,40,6.91,scattered clouds
296,Lac Du Bonnet,CA,50.2536,-96.0612,30.2,92,100,8.3,light snow
297,Parrita,CR,9.5201,-84.3225,83.75,73,100,7.65,overcast clouds
298,Bellevue,US,47.6104,-122.2007,59.76,44,51,5.99,broken clouds
299,Kaitangata,NZ,-46.2817,169.8464,46.09,82,4,3.49,clear sky
300,Mareeba,AU,-17.0,145.4333,70.52,93,97,1.83,overcast clouds
301,New Haven,US,41.4001,-72.9329,49.48,37,75,25.99,broken clouds
302,Bafq,IR,31.6128,55.4107,65.64,35,6,12.8,clear sky
303,Nyrob,RU,60.733,56.7202,15.78,98,76,3.4,broken clouds
304,Kawalu,ID,-7.3817,108.2082,72.75,96,100,2.77,overcast clouds
