City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Ouadda,CF,2022-04-16 12:32:36,8.0777,22.4007,98.26,22,91,6.71
278,Srednekolymsk,RU,2022-04-16 12:32:36,67.45,153.6833,2.66,99,100,2.93
279,Cam Ranh,VN,2022-04-16 12:32:37,11.9214,109.1591,80.56,83,20,2.3
280,Guerrero Negro,MX,2022-04-16 12:32:37,27.9769,-114.0611,57.51,90,100,11.61
281,Umm Lajj,SA,2022-04-16 12:32:37,25.0213,37.2685,81.66,53,0,8.12
282,Great Yarmouth,GB,2022-04-16 12:32:08,52.6083,1.7305,61.09,78,10,12.86
283,Suez,EG,2022-04-16 12:32:38,29.9737,32.5263,89.37,9,1,11.45
284,Victoria,HK,2022-04-16 12:31:26,22.2855,114.1577,73.45,73,98,15.99
285,Yanam,IN,2022-04-16 12:32:38,16.7333,82.2167,82.96,74,19,3.15
286,Barao De Melgaco,BR,2022-04-16 12:32:39,-16.1944,-55.9675,81.46,62,8,4.23
287,Yumen,CN,2022-04-16 12:32:39,40.2833,97.2,46.8,16,14,22.64
288,Sal Rei,CV,2022-04-16 12:32:39,16.1833,-22.9167,69.66,74,8,13.35
289,Kungurtug,RU,2022-04-16 12:32:40,50.5994,97.5228,30.24,87,27,1.61
290,Port-Gentil,GA,2022-04-16 12:32:40,-0.7193,8.7815,82.06,76,79,6.78
291,Mount Hagen,PG,2022-04-16 12:32:40,-5.8581,144.2274,58.48,98,50,1.34
292,Pemangkat,ID,2022-04-16 12:32:40,1.1667,108.9667,81.99,76,100,2.93
